participant_id	handedness	preceding_condition
0025864	#	no active task
0025865	#	no active task
0025866	#	no active task
0025867	#	no active task
0025868	#	no active task
0025869	#	no active task
0025870	#	no active task
0025871	#	no active task
0025872	#	no active task
0025873	#	no active task
0025874	#	no active task
0025875	#	no active task
0025876	#	no active task
0025877	#	no active task
0025878	#	no active task
0025879	#	no active task
0025880	#	no active task
0025881	#	no active task
0025882	#	no active task
0025883	#	no active task
0025884	#	no active task
0025885	#	no active task
0025886	#	no active task
0025887	#	no active task
0025888	#	no active task
0025889	#	no active task
0025890	#	no active task
0025891	#	no active task
0025892	#	no active task
0025893	#	no active task
0025894	#	no active task
0025895	#	no active task
0025896	#	no active task
0025897	#	no active task
0025898	#	no active task
0025899	#	no active task
0025900	#	no active task
0025901	#	no active task
0025902	#	no active task
0025903	#	no active task
0025904	#	no active task
0025905	#	no active task
0025906	#	no active task
0025907	#	no active task
0025908	#	no active task
0025909	#	no active task
0025910	#	no active task
0025911	#	no active task
0025912	#	no active task
0025913	#	no active task
0025914	#	no active task
0025915	#	no active task
0025916	#	no active task
0025917	#	no active task
0025918	#	no active task
0025919	#	no active task
0025920	#	no active task
