participant_id	handedness	preceding_condition
0027284	#	no active task
0027285	#	no active task
0027286	#	no active task
0027287	#	no active task
0027288	#	no active task
0027289	#	no active task
0027290	#	no active task
0027291	#	no active task
0027292	#	no active task
0027293	#	no active task
0027294	#	no active task
0027295	#	no active task
0027296	#	no active task
0027297	#	no active task
0027298	#	no active task
0027299	#	no active task
0027300	#	no active task
0027301	#	no active task
0027302	#	no active task
0027303	#	no active task
0027304	#	no active task
0027305	#	no active task
