participant_id	handedness	preceding_condition
0025599	#	no active task
0025600	#	no active task
0025601	#	no active task
0025602	#	no active task
0025603	#	no active task
0025604	#	no active task
0025605	#	no active task
0025606	#	no active task
0025607	#	no active task
0025608	#	no active task
0025609	#	no active task
0025610	#	no active task
0025611	#	no active task
0025612	#	no active task
0025613	#	no active task
0025614	#	no active task
0025615	#	no active task
0025616	#	no active task
0025617	#	no active task
0025618	#	no active task
0025619	#	no active task
0025620	#	no active task
0025621	#	no active task
0025622	#	no active task
0025623	#	no active task
0025624	#	no active task
0025625	#	no active task
0025626	#	no active task
0025627	#	no active task
0025628	#	no active task
