participant_id	handedness	preceding_condition
0025402	#	no active task
0025403	#	no active task
0025404	#	no active task
0025405	#	no active task
0025406	#	no active task
0025407	#	no active task
0025408	#	no active task
0025409	#	no active task
0025410	#	no active task
0025411	#	no active task
0025412	#	no active task
0025413	#	no active task
0025414	#	no active task
0025415	#	no active task
0025416	#	no active task
0025417	#	no active task
0025418	#	no active task
0025419	#	no active task
0025420	#	no active task
0025421	#	no active task
0025422	#	no active task
0025423	#	no active task
0025424	#	no active task
0025425	#	no active task
0025426	#	no active task
